"cycle","variable_name","variable_label","has_value_labels","n_value_labels"
"2013-2014","INS_1B","Type of plan - employer-sponsored (med)",TRUE,6
"2013-2014","INS_1C","Type of plan - private (med)",TRUE,6
"2013-2014","INS_2","Insurance - dental expenses",TRUE,6
"2013-2014","INS_2A","Type of plan -gov. - sponsored (dental)",TRUE,6
"2013-2014","INS_2B","Type of plan - employer-spons. (dental)",TRUE,6
"2013-2014","INS_2C","Type of plan - private (dental)",TRUE,6
"2013-2014","INS_3","Insurance - eye glasses/contact lenses",TRUE,6
"2013-2014","INS_3A","Type of plan -gov. - sponsored (eyes)",TRUE,6
"2013-2014","INS_3B","Type of plan - employer-spons. (eyes)",TRUE,6
"2013-2014","INS_3C","Type of plan - private (eyes)",TRUE,6
"2013-2014","INS_4","Insurance - hospital charges",TRUE,6
"2013-2014","INS_4A","Type of plan -gov. - sponsored (hosp.)",TRUE,6
"2013-2014","INS_4B","Type of plan - employer-spons. (hosp.)",TRUE,6
"2013-2014","INS_4C","Type of plan - private (hosp.)",TRUE,6
"2010-2011","INWGSOC","Occup. group (SOC) where inj. occ. - (G)",TRUE,9
"2013-2014","INWGSOC","Occup. group (SOC) where inj. occ. - (G)",TRUE,9
"2010-2011","INW_01","Injury occured in current job",TRUE,6
"2013-2014","INW_01","Injury occured in current job",TRUE,6
"2010-2011","LBSDPFT","Full/part-time - current jobs - (D)",TRUE,6
"2013-2014","LBSDPFT","Full/part-time - current jobs - (D)",TRUE,6
"2010-2011","LBSDWSS","Working status last week - 4 grps - (D)",TRUE,8
"2013-2014","LBSDWSS","Working status last week - 4 grps - (D)",TRUE,8
"2010-2011","LBSG31","Employment status - 12 mo - (G)",TRUE,6
"2013-2014","LBSG31","Employment status - 12 mo - (G)",TRUE,6
"2010-2011","LBSGHPW","Total usual hrs. worked current - (D, G)",TRUE,5
"2013-2014","LBSGHPW","Total usual hrs. worked current - (D, G)",TRUE,5
"2010-2011","LBSGSOC","Occupation group - (G)",TRUE,9
"2013-2014","LBSGSOC","Occupation group - (D,G)",TRUE,9
"2010-2011","LOPG020","Reason for not working - (G)",TRUE,12
"2013-2014","LOPG020","Reason for not working - (G)",TRUE,12
"2010-2011","LOPG040","Work days lost due to chronic cond. (G)",TRUE,5
"2013-2014","LOPG040","Work days lost due to chronic cond. (G)",TRUE,5
"2010-2011","LOPG050","Chronic condition - (G)",TRUE,15
"2013-2014","LOPG050","Chronic condition - (G)",TRUE,15
"2010-2011","LOPG070","Work days missed due to injury - (G)",TRUE,5
"2013-2014","LOPG070","Work days missed due to injury - (G)",TRUE,5
"2010-2011","LOPG082","Work days missed due to cold - (G)",TRUE,5
"2013-2014","LOPG082","Work days missed due to cold - (G)",TRUE,5
"2010-2011","LOPG083","Work days missed due/ flu/influenza (G)",TRUE,5
"2013-2014","LOPG083","Work days missed due/ flu/influenza (G)",TRUE,5
"2010-2011","LOPG084","Work days missed due to stomach flu (G)",TRUE,5
"2013-2014","LOPG084","Work days missed due to stomach flu (G)",TRUE,5
"2010-2011","LOPG085","Work days missed due/ respir.infect. (G)",TRUE,5
"2013-2014","LOPG085","Work days missed due/ respir.infect. (G)",TRUE,5
"2010-2011","LOPG086","Wrk days missed due/other infect.dis.(G)",TRUE,5
"2013-2014","LOPG086","Wrk days missed due/other infect.dis.(G)",TRUE,5
"2010-2011","LOPG100","Work days missed related/ ph/m hlth (G)",TRUE,5
"2013-2014","LOPG100","Work days missed related/ ph/m hlth (G)",TRUE,5
"2010-2011","LOP_015","Employed in past 3 months",TRUE,6
"2013-2014","LOP_015","Employed in past 3 months",TRUE,6
"2010-2011","LOP_030","Couldn't work due to chronic condition",TRUE,6
"2013-2014","LOP_030","Missed work due to chronic condition",TRUE,6
"2010-2011","LOP_060","Missed work due to injury",TRUE,6
"2013-2014","LOP_060","Missed work due to injury",TRUE,6
"2010-2011","LOP_080","Missed work due to infectious disease",TRUE,6
"2013-2014","LOP_080","Missed work due to infectious disease",TRUE,6
"2010-2011","LOP_090","Missed work for reason /ph. Or m. health",TRUE,6
"2013-2014","LOP_090","Missed work for reason /ph. Or m. health",TRUE,6
"2010-2011","LOP_81A","Had a cold",TRUE,6
"2013-2014","LOP_81A","Had a cold",TRUE,6
"2010-2011","LOP_81B","Had the flu or influenze",TRUE,6
"2013-2014","LOP_81B","Had the flu or influenze",TRUE,6
"2010-2011","LOP_81C","Stomach Flu",TRUE,6
"2013-2014","LOP_81C","Stomach Flu",TRUE,6
"2010-2011","LOP_81D","Respiratory Flu",TRUE,6
"2013-2014","LOP_81D","Respiratory Flu",TRUE,6
"2010-2011","LOP_81E","Other",TRUE,6
"2013-2014","LOP_81E","Other",TRUE,6
"2013-2014","MAMG31H","Had mammogram - other - (G)",TRUE,6
"2013-2014","MAMG36F","No mam. - not ava. when required/in area",TRUE,6
"2013-2014","MAMG36M","No mam. - other - 2 yrs - (G)",TRUE,6
"2010-2011","MAM_030","Ever had mammogram",TRUE,6
"2013-2014","MAM_030","Ever had mammogram",TRUE,6
"2010-2011","MAM_032","Last time mammogram was done",TRUE,9
"2013-2014","MAM_032","Last time mammogram was done",TRUE,9
"2010-2011","MAM_038","Had a hysterectomy",TRUE,6
"2013-2014","MAM_038","Had a hysterectomy",TRUE,6
"2010-2011","MAM_31A","Had mammogram - family history",TRUE,6
"2013-2014","MAM_31A","Had mammogram - family history",TRUE,6
"2010-2011","MAM_31B","Had mammogram - regular check-up",TRUE,6
"2013-2014","MAM_31B","Had mammogram - regular check-up",TRUE,6
"2010-2011","MAM_31C","Had mammogram - age",TRUE,6
"2013-2014","MAM_31C","Had mammogram - age",TRUE,6
